,loss,loss,,mean,,thresh
0:,loss,1.383,reward_mean,-198.8,reward_threshold,-84
1:,loss,1.374,reward_mean,-214.4,reward_threshold,-72.2
2:,loss,1.342,reward_mean,-230,reward_threshold,-61.8
3:,loss,1.31,reward_mean,-245.6,reward_threshold,-58.2
4:,loss,1.26,reward_mean,-261.2,reward_threshold,-46.1
5:,loss,1.245,reward_mean,-276.8,reward_threshold,-41.8
6:,loss,1.186,reward_mean,-292.4,reward_threshold,-27.4
7:,loss,1.157,reward_mean,-308,reward_threshold,-9.5
8:,loss,1.126,reward_mean,-323.6,reward_threshold,-12.9
9:,loss,1.11,reward_mean,-339.2,reward_threshold,3.8
10:,loss,1.034,reward_mean,-354.8,reward_threshold,13
11:,loss,1.02,reward_mean,-370.4,reward_threshold,16.5
12:,loss,1.053,reward_mean,-386,reward_threshold,16.5
13:,loss,0.984,reward_mean,-401.6,reward_threshold,23.1
14:,loss,0.959,reward_mean,-417.2,reward_threshold,27.6
15:,loss,0.966,reward_mean,-432.8,reward_threshold,23.7
16:,loss,0.932,reward_mean,-448.4,reward_threshold,35
17:,loss,0.983,reward_mean,-464,reward_threshold,38.7
18:,loss,0.972,reward_mean,-479.6,reward_threshold,30
19:,loss,0.904,reward_mean,-495.2,reward_threshold,35.4
20:,loss,0.897,reward_mean,-510.8,reward_threshold,38.6
21:,loss,0.86,reward_mean,-526.4,reward_threshold,44.2
22:,loss,0.94,reward_mean,-542,reward_threshold,41.7
23:,loss,0.955,reward_mean,-557.6,reward_threshold,43.6
24:,loss,0.887,reward_mean,-573.2,reward_threshold,44.5
25:,loss,0.938,reward_mean,-588.8,reward_threshold,44.7
26:,loss,1.012,reward_mean,-604.4,reward_threshold,47.3
27:,loss,0.933,reward_mean,-620,reward_threshold,44.2
28:,loss,1.055,reward_mean,-635.6,reward_threshold,43.6
29:,loss,1.046,reward_mean,-651.2,reward_threshold,48.6
30:,loss,1.035,reward_mean,-666.8,reward_threshold,48.9
31:,loss,1.037,reward_mean,3.9,reward_threshold,55.9
32:,loss,1.052,reward_mean,5.8,reward_threshold,60
33:,loss,1.076,reward_mean,18.1,reward_threshold,55.7
34:,loss,1.088,reward_mean,14.1,reward_threshold,59.6
35:,loss,1.088,reward_mean,30.2,reward_threshold,69.3
36:,loss,1.09,reward_mean,32.9,reward_threshold,81.3
37:,loss,1.083,reward_mean,41.1,reward_threshold,97.3
38:,loss,1.056,reward_mean,45.9,reward_threshold,102.6
39:,loss,1.05,reward_mean,35.8,reward_threshold,85.6
40:,loss,1.025,reward_mean,46.3,reward_threshold,106.1
41:,loss,1.019,reward_mean,43,reward_threshold,106.6
42:,loss,0.993,reward_mean,45.5,reward_threshold,119.2
43:,loss,0.965,reward_mean,35.3,reward_threshold,115.9
44:,loss,0.942,reward_mean,23.9,reward_threshold,102.5
45:,loss,0.961,reward_mean,36.3,reward_threshold,127.3
46:,loss,0.945,reward_mean,18.9,reward_threshold,109.3
47:,loss,0.958,reward_mean,22.4,reward_threshold,107.2
48:,loss,0.963,reward_mean,15,reward_threshold,114.8
49:,loss,0.965,reward_mean,19.4,reward_threshold,122.3
50:,loss,0.971,reward_mean,22.5,reward_threshold,116.7
51:,loss,0.986,reward_mean,40.3,reward_threshold,125.5
52:,loss,0.988,reward_mean,39.1,reward_threshold,123.8
53:,loss,0.973,reward_mean,61.7,reward_threshold,132.4
54:,loss,0.954,reward_mean,57.1,reward_threshold,132.1
55:,loss,0.92,reward_mean,63.4,reward_threshold,138.5
56:,loss,0.888,reward_mean,68.1,reward_threshold,136.8
57:,loss,0.832,reward_mean,64.6,reward_threshold,143.6
58:,loss,0.774,reward_mean,60.3,reward_threshold,133
59:,loss,0.677,reward_mean,58.3,reward_threshold,188.3
60:,loss,0.7,reward_mean,69.9,reward_threshold,210.3
61:,loss,0.654,reward_mean,87.5,reward_threshold,230
62:,loss,0.627,reward_mean,79.1,reward_threshold,230
63:,loss,0.654,reward_mean,72.1,reward_threshold,227.5
64:,loss,0.616,reward_mean,78.6,reward_threshold,233.1
65:,loss,0.598,reward_mean,68.2,reward_threshold,237.3
66:,loss,0.642,reward_mean,60.1,reward_threshold,235.8
67:,loss,0.652,reward_mean,59.6,reward_threshold,236.5
68:,loss,0.586,reward_mean,70.7,reward_threshold,238.5
69:,loss,0.606,reward_mean,70.3,reward_threshold,238.9
70:,loss,0.6,reward_mean,74.9,reward_threshold,240.1
71:,loss,0.644,reward_mean,88.3,reward_threshold,243.1
72:,loss,0.613,reward_mean,92.4,reward_threshold,243.1
73:,loss,0.643,reward_mean,92.4,reward_threshold,238.4
74:,loss,0.652,reward_mean,116.1,reward_threshold,243.4
75:,loss,0.671,reward_mean,92.2,reward_threshold,241.1
76:,loss,0.631,reward_mean,88.4,reward_threshold,236.7
77:,loss,0.686,reward_mean,81.2,reward_threshold,230.3
78:,loss,0.727,reward_mean,69.9,reward_threshold,230.5
79:,loss,0.686,reward_mean,82.9,reward_threshold,233.3
80:,loss,0.701,reward_mean,74.3,reward_threshold,229.2
81:,loss,0.617,reward_mean,102.3,reward_threshold,241.4
82:,loss,0.602,reward_mean,101.2,reward_threshold,243.1
83:,loss,0.619,reward_mean,102.7,reward_threshold,243.3
84:,loss,0.59,reward_mean,100.2,reward_threshold,254.8
85:,loss,0.592,reward_mean,111.1,reward_threshold,254.9
86:,loss,0.561,reward_mean,92.7,reward_threshold,248.6
87:,loss,0.541,reward_mean,82.5,reward_threshold,247.7
88:,loss,0.545,reward_mean,79.2,reward_threshold,224.5
89:,loss,0.459,reward_mean,56.5,reward_threshold,214
90:,loss,0.5,reward_mean,55.4,reward_threshold,231.5
91:,loss,0.497,reward_mean,50.2,reward_threshold,199.9
92:,loss,0.503,reward_mean,41.8,reward_threshold,69.2
93:,loss,0.517,reward_mean,34.9,reward_threshold,63.6
94:,loss,0.523,reward_mean,34.9,reward_threshold,173.1
95:,loss,0.505,reward_mean,26.6,reward_threshold,164.7
96:,loss,0.503,reward_mean,37.4,reward_threshold,199
97:,loss,0.545,reward_mean,32.8,reward_threshold,206.3
98:,loss,0.535,reward_mean,51,reward_threshold,223.1
99:,loss,0.523,reward_mean,74.8,reward_threshold,238.3
100:,loss,0.543,reward_mean,103,reward_threshold,246.4
101:,loss,0.542,reward_mean,95.8,reward_threshold,251.1
102:,loss,0.59,reward_mean,120.5,reward_threshold,255
103:,loss,0.618,reward_mean,105.5,reward_threshold,258.2
104:,loss,0.659,reward_mean,91.1,reward_threshold,243.8
105:,loss,0.677,reward_mean,87.5,reward_threshold,252.4
106:,loss,0.659,reward_mean,92.7,reward_threshold,244.3
107:,loss,0.685,reward_mean,80.1,reward_threshold,238.5
108:,loss,0.675,reward_mean,60,reward_threshold,240.4
109:,loss,0.644,reward_mean,72.4,reward_threshold,257.9
